year,station,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,FZF7,TAVG,TMAX,TMIN,CDSD,CLDD,FZF1,HDSD,HTDD,FZF8,FZF2,FZF9,FZF3,FZF4,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,DYTS
1821,GHCND:EZE00100082,0.0,66.0,20.0,60.0,0.0,-13.0,26.4,-1.4,-1.1,-11.1,-11.1,9.73,12.69,,49.5,49.5,-3.0,3429.8,3429.8,-11.1,,-11.1,,,161.0,55.0,2.0,27.7,498.4,,,,,,
1823,GHCND:EZE00100082,5.0,67.0,35.0,82.0,0.0,-23.1,30.4,-1.0,-0.4,-2.3,-5.0,,,,151.7,151.7,-5.9,3441.8,3441.8,-8.1,-5.9,-12.0,-8.9,-8.9,148.0,46.0,0.0,19.1,,,,,,,
1824,GHCND:EZE00100082,0.0,41.0,11.0,89.0,0.0,-8.2,29.7,0.0,-0.2,-3.7,-4.5,10.41,13.44,7.39,121.1,121.1,,3172.9,3172.9,-7.7,,,,,171.0,49.0,1.0,38.0,514.9,,,,,,
1825,GHCND:EZE00100082,0.0,51.0,13.0,90.0,0.0,-9.0,30.5,-0.1,-0.4,-3.9,-6.7,10.31,13.52,7.11,143.1,143.1,,2977.1,2977.1,-6.7,,-9.0,,,156.0,32.0,2.0,30.0,353.3,,,,,,
1826,GHCND:EZE00100082,1.0,71.0,38.0,99.0,1.0,-17.8,32.2,-1.9,-1.5,-2.3,-9.2,9.75,12.8,6.7,309.1,309.1,,3307.2,3307.2,-9.2,,-9.2,,,110.0,43.0,0.0,17.8,310.0,,,,,,
1827,GHCND:EZE00100082,5.0,78.0,47.0,106.0,1.0,-22.1,33.6,-0.1,-1.8,-13.5,-13.5,,,,241.8,241.8,-2.7,3238.9,3238.9,-13.5,-5.2,-13.5,-8.8,-10.5,117.0,60.0,2.0,26.6,,,,,,,
1828,GHCND:EZE00100082,0.0,57.0,27.0,88.0,2.0,-15.7,33.6,-1.9,-4.9,-4.9,-4.9,,,,150.8,150.8,-3.0,3260.9,3260.9,-7.8,-6.5,-10.9,-8.9,-8.9,146.0,68.0,3.0,33.8,,,,,,,
1829,GHCND:EZE00100082,8.0,134.0,73.0,66.0,1.0,-24.3,32.5,0.0,-0.4,-3.5,-4.6,,,,130.3,130.3,-3.6,3638.1,3638.1,-7.0,-4.5,-9.6,-6.9,-11.1,127.0,59.0,4.0,69.8,,,,,,,
1830,GHCND:EZE00100082,10.0,78.0,39.0,85.0,3.0,-27.5,35.7,-1.1,-0.4,-3.7,-5.8,,,,204.4,204.4,-3.4,3931.1,3931.1,-8.1,-8.6,-9.5,-8.6,,114.0,50.0,3.0,48.9,494.3,,,,,,
1831,GHCND:EZE00100082,3.0,61.0,33.0,88.0,0.0,-21.0,29.6,-7.0,-0.6,-4.9,-4.9,,,,134.1,134.1,-7.0,3348.2,3348.2,-7.6,-7.0,-11.3,-7.0,-9.9,135.0,72.0,3.0,38.1,,,,,,,
1832,GHCND:EZE00100082,0.0,88.0,26.0,83.0,1.0,-11.0,34.8,-1.1,-0.2,-2.8,-4.6,,,,133.2,133.2,-3.4,,,,-6.5,,-7.4,,98.0,45.0,0.0,22.4,,,,,,,
1833,GHCND:EZE00100082,,,,,,,,,,,,,,,130.9,130.9,,,,,,,,,117.0,67.0,2.0,,,,,,,,
1834,GHCND:EZE00100082,,,,,,,,,,,,,,,431.7,431.7,,,,,,,,,94.0,43.0,0.0,,,,,,,,
1835,GHCND:EZE00100082,,,,,,,,,,,,,,,202.9,202.9,,,,,,,,,90.0,,,,,,,,,,
1836,GHCND:EZE00100082,,,,,,,,,,,,,,,117.2,,,,,,,,,,,,,,,,,,,,
1837,GHCND:EZE00100082,,,,,,,,,,,,,,,134.2,134.2,,,,,,,,,131.0,72.0,3.0,,,,,,,,
1781,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,,,,
1782,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,,,
1783,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,,
1784,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,
1785,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,
1786,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,,,,,,,
1789,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,175.0,64.0,4.0,,,,,,,,
1790,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,171.0,65.0,0.0,23.0,565.8,,,,,,
1792,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,173.0,77.0,,,,,,,,,
1794,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,152.0,82.0,1.0,,,,,,,,
1795,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,159.0,56.0,3.0,30.4,,,,,,,
1796,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,141.0,,,,,,,,,,
1797,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,123.0,68.0,2.0,29.2,582.2,,,,,,
1798,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,149.0,70.0,,,,,,,,,
1800,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,133.0,69.0,,,,,,,,,
1801,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,
1802,GHCND:GM000010962,,,,,,,,,,,,,,,,,,,,,,,,,125.0,56.0,1.0,28.0,,,,,,,
