tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
348,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,21625,Subscriber,1964
1277,301,40.72217444,-73.98368779,316,40.70955958,-74.00653609,22115,Subscriber,1986
1196,301,40.72217444,-73.98368779,316,40.70955958,-74.00653609,16513,Subscriber,1989
383,301,40.72217444,-73.98368779,300,40.728145,-73.990214,16318,Subscriber,1980
949,301,40.72217444,-73.98368779,460,40.71285887,-73.96590294,18512,Subscriber,1980
975,301,40.72217444,-73.98368779,116,40.74177603,-74.00149746,14868,Subscriber,1977
427,301,40.72217444,-73.98368779,326,40.72953837,-73.98426726,15931,Subscriber,1975
1207,301,40.72217444,-73.98368779,454,40.75455731,-73.96592976,17545,Subscriber,1986
1488,301,40.72217444,-73.98368779,486,40.7462009,-73.98855723,21632,Subscriber,1964
329,301,40.72217444,-73.98368779,438,40.72779126,-73.98564945,15819,Subscriber,1983
1172,301,40.72217444,-73.98368779,454,40.75455731,-73.96592976,14843,Subscriber,1987
834,301,40.72217444,-73.98368779,532,40.710451,-73.960876,20260,Customer,
157,301,40.72217444,-73.98368779,432,40.72621788,-73.98379855,18990,Subscriber,1979
296,301,40.72217444,-73.98368779,433,40.72955361,-73.98057249,19808,Subscriber,1968
690,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,16361,Subscriber,1992
1782,301,40.72217444,-73.98368779,476,40.74394314,-73.97966069,21026,Customer,
1725,301,40.72217444,-73.98368779,476,40.74394314,-73.97966069,22147,Customer,
1653,301,40.72217444,-73.98368779,476,40.74394314,-73.97966069,15237,Customer,
1086,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,14833,Customer,
1001,301,40.72217444,-73.98368779,229,40.72743423,-73.99379025,21320,Customer,
258,301,40.72217444,-73.98368779,265,40.72229346,-73.99147535,21973,Subscriber,1947
1664,301,40.72217444,-73.98368779,225,40.74195138,-74.00803013,20731,Customer,
882,301,40.72217444,-73.98368779,497,40.73704984,-73.99009296,22340,Subscriber,1964
763,301,40.72217444,-73.98368779,285,40.73454567,-73.99074142,22668,Subscriber,1985
729,301,40.72217444,-73.98368779,285,40.73454567,-73.99074142,22438,Subscriber,1985
326,301,40.72217444,-73.98368779,311,40.7172274,-73.98802084,17291,Subscriber,1992
297,301,40.72217444,-73.98368779,326,40.72953837,-73.98426726,23399,Subscriber,1981
236,301,40.72217444,-73.98368779,236,40.7284186,-73.98713956,18242,Subscriber,1991
912,301,40.72217444,-73.98368779,532,40.710451,-73.960876,22998,Subscriber,1982
270,301,40.72217444,-73.98368779,265,40.72229346,-73.99147535,19077,Subscriber,1975
536,301,40.72217444,-73.98368779,361,40.71605866,-73.99190759,18974,Subscriber,1970
146,301,40.72217444,-73.98368779,428,40.72467721,-73.98783413,22761,Subscriber,1989
2482,301,40.72217444,-73.98368779,217,40.70277159,-73.99383605,22404,Subscriber,1964
2467,301,40.72217444,-73.98368779,217,40.70277159,-73.99383605,16988,Subscriber,1974
876,301,40.72217444,-73.98368779,161,40.72917025,-73.99810231,17274,Subscriber,1986
1371,301,40.72217444,-73.98368779,501,40.744219,-73.97121214,19798,Customer,
1316,301,40.72217444,-73.98368779,501,40.744219,-73.97121214,19387,Customer,
217,301,40.72217444,-73.98368779,445,40.72740794,-73.98142006,18041,Subscriber,1991
670,301,40.72217444,-73.98368779,336,40.73047747,-73.99906065,23240,Subscriber,1984
1087,301,40.72217444,-73.98368779,225,40.74195138,-74.00803013,22802,Customer,
1082,301,40.72217444,-73.98368779,225,40.74195138,-74.00803013,23624,Customer,
1050,301,40.72217444,-73.98368779,225,40.74195138,-74.00803013,16724,Subscriber,1988
1375,301,40.72217444,-73.98368779,312,40.722055,-73.989111,18403,Subscriber,1981
823,301,40.72217444,-73.98368779,284,40.73901691,-74.00263761,22847,Subscriber,1967
425,301,40.72217444,-73.98368779,265,40.72229346,-73.99147535,22934,Subscriber,1969
575,301,40.72217444,-73.98368779,151,40.7218158,-73.99720307,15643,Subscriber,1988
428,301,40.72217444,-73.98368779,265,40.72229346,-73.99147535,15215,Subscriber,1997
431,301,40.72217444,-73.98368779,311,40.7172274,-73.98802084,19012,Subscriber,1963
1547,301,40.72217444,-73.98368779,259,40.70122128,-74.01234218,22729,Subscriber,1958
627,301,40.72217444,-73.98368779,297,40.734232,-73.986923,22354,Subscriber,1990
2557,301,40.72217444,-73.98368779,499,40.76915505,-73.98191841,17554,Subscriber,1973
278,301,40.72217444,-73.98368779,511,40.72938685,-73.97772429,23662,Subscriber,1975
241,301,40.72217444,-73.98368779,403,40.72502876,-73.99069656,19377,Subscriber,1984
557,301,40.72217444,-73.98368779,161,40.72917025,-73.99810231,22495,Subscriber,1983
479,301,40.72217444,-73.98368779,161,40.72917025,-73.99810231,17672,Subscriber,1983
1191,301,40.72217444,-73.98368779,329,40.72043411,-74.01020609,19103,Subscriber,1982
1177,301,40.72217444,-73.98368779,329,40.72043411,-74.01020609,19005,Subscriber,1982
155,301,40.72217444,-73.98368779,317,40.72453734,-73.98185424,15726,Subscriber,1992
452,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,19897,Subscriber,1988
862,301,40.72217444,-73.98368779,377,40.72243797,-74.00566443,19672,Subscriber,1988
485,301,40.72217444,-73.98368779,361,40.71605866,-73.99190759,22809,Subscriber,1982
1960,301,40.72217444,-73.98368779,525,40.75594159,-74.0021163,15808,Subscriber,1956
345,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,23513,Subscriber,1977
798,301,40.72217444,-73.98368779,285,40.73454567,-73.99074142,22220,Subscriber,1976
748,301,40.72217444,-73.98368779,285,40.73454567,-73.99074142,22928,Subscriber,1971
228,301,40.72217444,-73.98368779,312,40.722055,-73.989111,19464,Subscriber,1988
1058,301,40.72217444,-73.98368779,458,40.751396,-74.005226,22326,Subscriber,1992
493,301,40.72217444,-73.98368779,536,40.74144387,-73.97536082,22605,Subscriber,1982
550,301,40.72217444,-73.98368779,336,40.73047747,-73.99906065,24057,Subscriber,1975
601,301,40.72217444,-73.98368779,368,40.73038599,-74.00214988,22096,Subscriber,1976
1417,301,40.72217444,-73.98368779,332,40.71219906,-73.97948148,15061,Subscriber,1965
227,301,40.72217444,-73.98368779,511,40.72938685,-73.97772429,22971,Subscriber,1994
876,301,40.72217444,-73.98368779,164,40.75323098,-73.97032517,22651,Subscriber,1976
314,301,40.72217444,-73.98368779,403,40.72502876,-73.99069656,14562,Subscriber,1964
1548,301,40.72217444,-73.98368779,515,40.76009437,-73.99461843,20324,Subscriber,1982
319,301,40.72217444,-73.98368779,237,40.73047309,-73.98672378,18476,Subscriber,1987
